index,source,target,weight
8075,John Templeton Foundation,United States Department of Energy (DOE),5
8076,Schmidt Fund for Innovative Research,W.M. Keck Foundation,2
8077,ARO MURIMURI,W.M. Keck Foundation,7
8078,Duke University,European Commission,4
8079,European Research Council,Walton Family Foundation,1
8080,Duke University,European Research Council,1
8081,American Cancer Society,Stanford University,8
8082,American Cancer Society,Child Health Research Institute,4
8083,Child Health Research Institute,Doris Duke Charitable Foundation (DDCF),4
8084,John Templeton Foundation,National Natural Science Foundation of China (NSFC),4
8085,Siebel Stem Cell Institute,Stanford University,3
8086,Danish National Research Foundation,Howard Hughes Medical Institute,4
8087,Australian Research Council,Natural Environment Research Council (NERC),1
8088,Microsoft,Schmidt Fund for Innovative Research,1
8089,Microsoft,United States Department of Energy (DOE),2
8090,ARO MURIMURI,Microsoft,3
8091,Leverhulme Trust,United States Army Research Office,1
8092,Alfred P. Sloan Foundation,Welch Foundation,12
8093,ARO,Leverhulme Trust,1
8094,Oak Foundation,Walton Family Foundation,1
8095,ARO,Google,1
8096,Avatar Alliance Foundation,William Hearst III,2
8097,Carnegie Corporation of New York,William Hearst III,2
8098,MacArthur Foundation,William Hearst III,2
8099,Andrew W. Mellon Foundation,William Hearst III,8
8100,Gordon and Betty Moore Foundation,William Hearst III,6
8101,W.M. Keck Foundation,William Hearst III,8
8102,David and Lucile Packard Foundation,William Hearst III,2
8103,Margaret A. Cargill Foundation,William Hearst III,2
8104,United States Department of Agriculture (USDA),William Hearst III,2
8105,Grantham Foundation for the Protection of the Environment,William Hearst III,4
8106,Pfizer,United States National Aeronautics & Space Administration (NASA),1
8107,,John Templeton Foundation,4
8108,Consejo Nacional de Ciencia y Tecnologia (CONACyT),John Templeton Foundation,1
8109,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),John Templeton Foundation,1
8110,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),John Templeton Foundation,1
8111,Consejo Nacional de Ciencia y Tecnologia (CONACyT),Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),3
8112,Consejo Nacional de Ciencia y Tecnologia (CONACyT),Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),1
8113,Alexander von Humboldt Foundation,Northwestern University,1
8114,Government of Japan,Northwestern University,1
8115,Royal Society of London,United States Army Research Office,2
8116,Economic  Social Research Council UK (ESRC),United States National Science Foundation (NSF),1
8117,MacArthur Foundation,United States Army Research Office,1
8118,David and Lucile Packard Foundation,Society of Family Planning Research Fund,1
8119,Howard Hughes Medical Institute,Lawrence Ellison Foundation,3
8120,Cornell University,United States Department of Defense (DOD),1
8121,Cornell University,United States Army Research Office,1
8122,Cornell University,National Natural Science Foundation of China (NSFC),1
8123,National Fish and Wildlife Foundation,Pew Charitable Trusts,1
8124,,Netherlands Organization for Scientific Research (NWO),3
8125,Arnold and Mabel Beckman Foundation,European Research Council,1
8126,European Research Council,UK National Institute of Health Research (NIHR),9
8127,Swiss National Science Foundation,United States Department of Defense (DOD),1
8128,Alexander von Humboldt Foundation,Carnegie Corporation of New York,1
8129,Carnegie Corporation of New York,Stanford University,1
8130,,Welch Foundation,3
8131,Ministry of Science and Technology of China,United States Office of Naval Research,2
8132,Ministry of Science and Technology of China,W.M. Keck Foundation,1
8133,ARO MURIMURI,Ministry of Science and Technology of China,1
8134,,Spanish Ministerio de Economia y Competitividad,3
8135,Spanish Ministerio de Economia y Competitividad,W.M. Keck Foundation,1
8136,ARO MURIMURI,Spanish Ministerio de Economia y Competitividad,1
8137,Chinese Academy of Sciences,United States Department of Defense (DOD),3
8138,German Research Foundation,State of Illinois,1
8139,Alexander von Humboldt Foundation,State of Illinois,1
8140,European Commission,State of Illinois,1
8141,Chinese Academy of Sciences,Microsoft,2
8142,Microsoft,National Natural Science Foundation of China (NSFC),2
8143,European Research Council,Microsoft,1
8144,ARO MURIMURI,Chinese Academy of Sciences,2
8145,Chinese Academy of Sciences,United States Army Research Office,2
8146,Government of Netherlands,Government of United Kingdom,19
8147,Government of United Kingdom,Norwegian Agency for Development Cooperation,1
8148,W.M. Keck Foundation,Welch Foundation,2
8149,Swiss National Science Foundation,Welch Foundation,2
8150,David and Lucile Packard Foundation,Siebel Stem Cell Institute,2
8151,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Netherlands Organization for Scientific Research (NWO),1
8152,Fannie and John Hertz Foundation,United States Army Research Office,1
8153,UK Research and Innovation (UKRI),United States Department of Agriculture (USDA),13
8154,United States Department of Agriculture (USDA),University of Washington,1
8155,Biotechnology and Biological Sciences Research Council (BBSRC),Cancer Research UK,3
8156,American Cancer Society,Biotechnology and Biological Sciences Research Council (BBSRC),1
8157,American Cancer Society,Cancer Research UK,1
8158,California HealthCare Foundation,Stanford University,1
8159,United States National Science Foundation (NSF),W.K. Kellogg Foundation,1
8160,United States National Oceanic and Atmospheric Administration (NOAA),University of Washington,1
8161,Microsoft,Russian Foundaion for Basic Resaerch (RFBR),1
8162,Carnegie Foundation,National Fish and Wildlife Foundation,1
8163,American Cancer Society,European Commission,5
8164,Child Health Research Institute,European Commission,4
8165,American Cancer Society,Israel Science Foundation,1
8166,American Cancer Society,European Research Council,1
8167,Child Health Research Institute,Israel Science Foundation,1
8168,Child Health Research Institute,European Research Council,1
8169,Doris Duke Charitable Foundation (DDCF),Israel Science Foundation,1
8170,Doris Duke Charitable Foundation (DDCF),European Research Council,2
8171,Stanford University,University of California System,2
8172,Swiss National Science Foundation,University of California System,1
8173,UK Research and Innovation (UKRI),University of California System,4
8174,Siebel Stem Cell Institute,University of California System,1
8175,European Commission,Siebel Stem Cell Institute,1
8176,Siebel Stem Cell Institute,Swiss National Science Foundation,1
8177,Siebel Stem Cell Institute,UK Research and Innovation (UKRI),1
8178,Merck & Company,Stanford University,1
8179,Australian Research Council,Princeton University,2
8180,Australian Research Council,Harvard University,1
8181,American Cancer Society,Pew Charitable Trusts,2
8182,Government of United Kingdom,Stanford University,2
8183,Government of Canada,Stanford University,1
8184,Government of Sweden,Stanford University,1
8185,Government of Australia,Stanford University,1
8186,Damon Runyon Foundation,Rita Allen Foundation,2
8187,Child Health Research Institute,Damon Runyon Foundation,1
8188,Rita Allen Foundation,Stanford University,1
8189,Child Health Research Institute,Rita Allen Foundation,1
8190,TABASGO Foundation,Vilum Fonden,1
8191,Pfizer,United States Department of Energy (DOE),2
8192,Stanford University,United States Department of Veterans Affairs,2
8193,United States Department of Energy (DOE),United States National Oceanic and Atmospheric Administration (NOAA),4
8194,CGIAR,Carnegie Foundation,4
8195,,Arnold and Mabel Beckman Foundation,1
8196,Arnold and Mabel Beckman Foundation,Camille & Henry Dreyfus Foundation,6
8197,,Conselleria d'Economia Hisenda i Innovacio of the Govern de les Illes Balears,2
8198,,Carnegie Trust,2
8199,,"Istituto Nazionale di Fisica Nucleare, Italy (INFN)",2
8200,Conselleria d'Economia Hisenda i Innovacio of the Govern de les Illes Balears,European Research Council,1
8201,European Research Council,Spanish Ministerio de Economia y Competitividad,1
8202,Ford Foundation,Natural Sciences and Engineering Research Council of Canada (NSERC),7
8203,John Templeton Foundation,Pennsylvania State University,2
8204,German Research Foundation,Johns Hopkins University,1
8205,Child Health Research Institute,German Research Foundation (DFG),2
8206,David and Lucile Packard Foundation,Merck & Company,2
8207,Fulbright Foundation,Wenner-Gren Foundation,4
8208,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),Microsoft,1
8209,Microsoft,Natural Sciences and Engineering Research Council of Canada (NSERC),2
8210,Alfred P. Sloan Foundation,Human Frontier Science Program,4
8211,Russian Foundaion for Basic Resaerch (RFBR),Wellcome Trust,1
8212,Princeton University,United States Department of Defense (DOD),1
8213,Biotechnology and Biological Sciences Research Council (BBSRC),Camille & Henry Dreyfus Foundation,1
8214,Camille & Henry Dreyfus Foundation,European Commission,1
8215,Camille & Henry Dreyfus Foundation,UK Research and Innovation (UKRI),1
8216,Alfred P. Sloan Foundation,Smithsonian Institution,3
8217,Google,United States National Oceanic and Atmospheric Administration (NOAA),1
8218,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Google,1
8219,Human Frontier Science Program,Lawrence Ellison Foundation,1
8220,Canadian Institutes of Health Research (CIHR),Harvard University,1
8221,Gordon and Betty Moore Foundation,Norwegian Agency for Development Cooperation,1
8222,United States Department of Veterans Affairs,United States Office of Naval Research,1
8223,Alfred P. Sloan Foundation,United States Department of Veterans Affairs,1
8224,Consejo Nacional de Ciencia y Tecnologia (CONACyT),Government of United Kingdom,1
8225,Government of United Kingdom,Marisla Foundation,1
8226,Doris Duke Charitable Foundation (DDCF),Pfizer,1
8227,Doris Duke Charitable Foundation (DDCF),Wellcome Trust,12
8228,Boehringer Ingelheim,Doris Duke Charitable Foundation (DDCF),2
8229,Doris Duke Charitable Foundation (DDCF),Johnson & Johnson,2
8230,Doris Duke Charitable Foundation (DDCF),Glaxo Smith Kline,2
8231,Canadian Institutes of Health Research (CIHR),Doris Duke Charitable Foundation (DDCF),2
8232,Doris Duke Charitable Foundation (DDCF),Takeda Pharmaceutical Company Ltd,1
8233,American Cancer Society,Boehringer Ingelheim,1
8234,American Cancer Society,Johnson & Johnson,1
8235,American Cancer Society,Canadian Institutes of Health Research (CIHR),1
8236,American Cancer Society,Takeda Pharmaceutical Company Ltd,1
8237,Glaxo Smith Kline,Stanford University,2
8238,Canadian Institutes of Health Research (CIHR),Stanford University,1
8239,Child Health Research Institute,Glaxo Smith Kline,1
8240,Canadian Institutes of Health Research (CIHR),Child Health Research Institute,1
8241,Swedish National Science Foundation,United States Department of Defense (DOD),3
8242,Child Health Research Institute,United States Department of Defense (DOD),1
8243,Child Health Research Institute,United States Office of Naval Research,1
8244,Child Health Research Institute,Swedish National Science Foundation,1
8245,Child Health Research Institute,National Natural Science Foundation of China (NSFC),1
8246,Johns Hopkins University,National Geographic Society,1
8247,John Templeton Foundation,Johns Hopkins University,1
8248,National Geographic Society,Ohio State University,1
8249,John Templeton Foundation,Ohio State University,1
8250,National Geographic Society,University of Washington,1
8251,John Templeton Foundation,University of Washington,1
8252,National Geographic Society,New Mexico State University,1
8253,John Templeton Foundation,New Mexico State University,1
8254,National Geographic Society,W.M. Keck Foundation,1
8255,Harvard University,W.M. Keck Foundation,2
8256,National Geographic Society,Princeton University,1
8257,John Templeton Foundation,Princeton University,1
8258,John Templeton Foundation,National Geographic Society,2
8259,National Geographic Society,Pennsylvania State University,1
8260,National Geographic Society,United States Department of Energy (DOE),1
8261,National Geographic Society,Yale University,1
8262,National Geographic Society,New York University,1
8263,John Templeton Foundation,Yale University,1
8264,John Templeton Foundation,University of Portsmouth,1
8265,John Templeton Foundation,New York University,1
8266,CGIAR,State of Niedersachsen/Germany,2
8267,CGIAR,Spanish Ministerio de Economia y Competitividad,2
8268,CGIAR,Foundation for Polish Science,2
8269,David and Lucile Packard Foundation,Spencer Foundation,1
8270,Fulbright Foundation,University of California System,1
8271,Swedish National Science Foundation,University of California System,1
8272,European Commission,Fulbright Foundation,5
8273,Fulbright Foundation,Swedish National Science Foundation,2
8274,Johns Hopkins University,Royal Society of London,1
8275,Johns Hopkins University,National Natural Science Foundation of China (NSFC),2
8276,Grainger Foundation,Johns Hopkins University,1
8277,New Mexico State University,Royal Society of London,1
8278,Royal Society of London,Yale University,1
8279,New York University,Royal Society of London,1
8280,Grainger Foundation,Ohio State University,1
8281,National Natural Science Foundation of China (NSFC),New Mexico State University,2
8282,Grainger Foundation,New Mexico State University,1
8283,National Natural Science Foundation of China (NSFC),Yale University,2
8284,National Natural Science Foundation of China (NSFC),New York University,2
8285,Grainger Foundation,Yale University,1
8286,Grainger Foundation,University of Portsmouth,1
8287,Grainger Foundation,New York University,1
8288,Medicines for Malaria Venture,United States National Institutes of Health (NIH),31
8289,Howard Hughes Medical Institute,Medicines for Malaria Venture,1
8290,David and Lucile Packard Foundation,Medicines for Malaria Venture,1
8291,Danish National Research Foundation,University of California System,1
8292,United States Department of Energy (DOE),University of California System,1
8293,Alexander von Humboldt Foundation,University of California System,1
8294,Conselleria d'Economia Hisenda i Innovacio of the Govern de les Illes Balears,Swedish National Science Foundation,1
8295,Conselleria d'Economia Hisenda i Innovacio of the Govern de les Illes Balears,United States Department of Energy (DOE),1
8296,State of Niedersachsen/Germany,Swedish National Science Foundation,1
8297,State of Niedersachsen/Germany,United States Department of Energy (DOE),1
8298,Government of Poland,Swedish National Science Foundation,1
8299,Government of Poland,United States Department of Energy (DOE),1
8300,Spanish Ministerio de Economia y Competitividad,Swedish National Science Foundation,1
8301,"Istituto Nazionale di Fisica Nucleare, Italy (INFN)",Swedish National Science Foundation,1
8302,Foundation for Polish Science,Swedish National Science Foundation,1
8303,Government of Australia,Swedish National Science Foundation,1
8304,Spanish Ministerio de Economia y Competitividad,United States Department of Energy (DOE),1
8305,Foundation for Polish Science,United States Department of Energy (DOE),1
8306,ARO MURIMURI,Natural Sciences and Engineering Research Council of Canada (NSERC),1
8307,Allen Foundation,United States National Science Foundation (NSF),1
8308,Allen Foundation,David and Lucile Packard Foundation,1
8309,California Institute for Regenerative Medicine,Max Planck Society,1
8310,Australian Research Council,University of Pittsburgh,1
8311,Royal Society of London,Swiss National Science Foundation,1
8312,,State of Niedersachsen/Germany,1
8313,,Government of Poland,1
8314,,Foundation for Polish Science,1
8315,,Government of Australia,1
8316,Conselleria d'Economia Hisenda i Innovacio of the Govern de les Illes Balears,German Research Foundation (DFG),1
8317,German Research Foundation (DFG),Government of Poland,1
8318,German Research Foundation (DFG),Spanish Ministerio de Economia y Competitividad,1
8319,Foundation for Polish Science,German Research Foundation (DFG),1
8320,German Research Foundation (DFG),Government of Australia,1
8321,Bill and Melinda Gates Foundation,United States Department of Defense (DOD),131
8322,Bill and Melinda Gates Foundation,Northwestern University,4
8323,Bill and Melinda Gates Foundation,United States Army Research Office,36
8324,CGIAR,Northwestern University,3
8325,Camille & Henry Dreyfus Foundation,Northwestern University,2
8326,Northwestern University,United States Army Research Office,2
8327,CGIAR,United States Army Research Office,7
8328,Consejo Nacional de Ciencia y Tecnologia (CONACyT),National Fish and Wildlife Foundation,1
8329,Government of Japan,United States Army Research Office,1
8330,Brown University,David and Lucile Packard Foundation,1
8331,Thrasher Research Fund,United States National Science Foundation (NSF),4
8332,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),University of Washington,2
8333,Texas AM Universitiy,University of Washington,2
8334,Stanford University,University of Washington,2
8335,Chinese Academy of Sciences,University of Washington,1
8336,National Natural Science Foundation of China (NSFC),University of Washington,1
8337,University of Michigan,University of Washington,2
8338,Government of Spain,University of Washington,2
8339,German Research Foundation (DFG),Princeton University,1
8340,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Princeton University,1
8341,Princeton University,Texas AM Universitiy,1
8342,Princeton University,Stanford University,1
8343,Chinese Academy of Sciences,Princeton University,1
8344,National Natural Science Foundation of China (NSFC),Princeton University,1
8345,Princeton University,University of Michigan,1
8346,Government of Spain,Princeton University,1
8347,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Johns Hopkins University,1
8348,Johns Hopkins University,Texas AM Universitiy,1
8349,Johns Hopkins University,Stanford University,1
8350,Chinese Academy of Sciences,Johns Hopkins University,1
8351,Johns Hopkins University,University of Michigan,1
8352,Government of Spain,Johns Hopkins University,1
8353,German Research Foundation (DFG),Harvard University,1
8354,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Harvard University,1
8355,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),New York University,1
8356,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),New Mexico State University,1
8357,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Pennsylvania State University,1
8358,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),Yale University,1
8359,Harvard University,Texas AM Universitiy,1
8360,New York University,Texas AM Universitiy,1
8361,New Mexico State University,Texas AM Universitiy,1
8362,Pennsylvania State University,Texas AM Universitiy,2
8363,Texas AM Universitiy,Yale University,1
8364,Chinese Academy of Sciences,Harvard University,1
8365,Harvard University,National Natural Science Foundation of China (NSFC),2
8366,Harvard University,University of Michigan,1
8367,Harvard University,Higher Education Funding Council for England,1
8368,Government of Spain,Harvard University,1
8369,New York University,Stanford University,1
8370,New Mexico State University,Stanford University,1
8371,Pennsylvania State University,Stanford University,1
8372,Stanford University,Yale University,1
8373,Chinese Academy of Sciences,New York University,1
8374,New York University,University of Michigan,1
8375,Higher Education Funding Council for England,New York University,1
8376,Government of Spain,New York University,1
8377,Chinese Academy of Sciences,New Mexico State University,1
8378,New Mexico State University,University of Michigan,1
8379,Government of Spain,New Mexico State University,1
8380,Chinese Academy of Sciences,Pennsylvania State University,1
8381,Chinese Academy of Sciences,Yale University,1
8382,National Natural Science Foundation of China (NSFC),Pennsylvania State University,1
8383,Pennsylvania State University,University of Michigan,1
8384,Higher Education Funding Council for England,Pennsylvania State University,1
8385,Government of Spain,Pennsylvania State University,1
8386,Higher Education Funding Council for England,National Natural Science Foundation of China (NSFC),1
8387,Government of Spain,National Natural Science Foundation of China (NSFC),1
8388,University of Michigan,Yale University,1
8389,Higher Education Funding Council for England,Yale University,1
8390,Government of Spain,Yale University,1
8391,Swiss National Science Foundation,Vallee Foundation,1
8392,Human Frontier Science Program,Vallee Foundation,1
8393,Israel Science Foundation,University of Washington,1
8394,Gordon and Betty Moore Foundation,University of Washington,7
8395,Simons Foundation,United States National Oceanic and Atmospheric Administration (NOAA),1
8396,Pfizer,United States National Oceanic and Atmospheric Administration (NOAA),1
8397,David and Lucile Packard Foundation,National Institute of Justice,1
8398,Gordon and Betty Moore Foundation,Johns Hopkins University,1
8399,Simons Foundation,University of Pittsburgh,1
8400,Gordon and Betty Moore Foundation,New Mexico State University,1
8401,Gordon and Betty Moore Foundation,Princeton University,1
8402,Gordon and Betty Moore Foundation,University of Pittsburgh,1
8403,Danish National Research Foundation,University of Washington,1
8404,European Research Council,Human Frontier Science Program,2
8405,United States National Science Foundation (NSF),University of Cape Town,1
8406,United States National Aeronautics & Space Administration (NASA),University of Cape Town,1
8407,David and Lucile Packard Foundation,University of Cape Town,1
8408,South African National Research Foundation,University of Cape Town,33
8409,Government of Japan,University of California System,1
8410,Google,Government of Japan,1
8411,Google,University of California System,1
8412,Marisla Foundation,Robertson Foundation,1
8413,David and Lucile Packard Foundation,Robertson Foundation,1
8414,Oak Foundation,Robertson Foundation,1
8415,Pew Charitable Trusts,United States Army Research Office,1
8416,German Research Foundation,New York Stem Cell Foundation,1
8417,CGIAR,Walton Family Foundation,2
8418,Natural Sciences and Engineering Research Council of Canada (NSERC),Walton Family Foundation,2
8419,National Key Research and Development Program of China,United States Office of Naval Research,1
8420,Gordon and Betty Moore Foundation,National Key Research and Development Program of China,3
8421,Bloomberg Philanthropies,Gordon and Betty Moore Foundation,1
8422,Bloomberg Philanthropies,Walton Family Foundation,1
8423,Camille & Henry Dreyfus Foundation,State of Illinois,1
8424,Camille & Henry Dreyfus Foundation,W.M. Keck Foundation,1
8425,Government of Japan,Schmidt Fund for Innovative Research,1
8426,Leverhulme Trust,National Key Research and Development Program of China,1
8427,National Key Research and Development Program of China,Wellcome Trust,4
8428,European Research Council,National Key Research and Development Program of China,1
8429,Leverhulme Trust,United States National Institutes of Health (NIH),2
8430,Leverhulme Trust,Wellcome Trust,3
8431,Avatar Alliance Foundation,Claude Leon Foundation,3
8432,Claude Leon Foundation,MacArthur Foundation,2
8433,Andrew W. Mellon Foundation,Claude Leon Foundation,11
8434,Claude Leon Foundation,Gordon and Betty Moore Foundation,3
8435,Claude Leon Foundation,W.M. Keck Foundation,3
8436,Claude Leon Foundation,David and Lucile Packard Foundation,2
8437,Claude Leon Foundation,Margaret A. Cargill Foundation,3
8438,Claude Leon Foundation,Grantham Foundation for the Protection of the Environment,3
8439,CGIAR,National Geographic Society,2
8440,National Geographic Society,Natural Sciences and Engineering Research Council of Canada (NSERC),2
8441,,Wenner-Gren Foundation,1
8442,Simons Foundation,Wenner-Gren Foundation,1
8443,South African National Research Foundation,University of Washington,1
8444,University of Washington,Wenner-Gren Foundation,1
8445,UK Research and Innovation (UKRI),Wenner-Gren Foundation,5
8446,South African National Research Foundation,Wenner-Gren Foundation,7
8447,Smithsonian Institution,Space Telescope Science Institute,2
8448,Ford Foundation,United States National Aeronautics & Space Administration (NASA),35
8449,Alfred P. Sloan Foundation,Ford Foundation,22
8450,Ford Foundation,Simons Foundation,9
8451,CGIAR,Norwegian Agency for Development Cooperation (NORAD),65
8452,David and Lucile Packard Foundation,Norwegian Agency for Development Cooperation (NORAD),1
8453,Andrew W. Mellon Foundation,Cornell University,12
8454,Government of Japan,Welch Foundation,2
8455,ARO,Welch Foundation,1
8456,Australian Research Council,John Templeton Foundation,1
8457,German Research Foundation,John Templeton Foundation,1
8458,Pew Charitable Trusts,United States Office of Naval Research,1
8459,Microsoft,Nature Conservancy,1
8460,Nature Conservancy,World Wildlife Fund,1
8461,Max Planck Society,Schmidt Fund for Innovative Research,1
8462,CGIAR,Social Sciences and Humanities Research Council of Canada (SSHRC),4
8463,Natural Sciences and Engineering Research Council of Canada (NSERC),Social Sciences and Humanities Research Council of Canada (SSHRC),5
8464,Gordon and Betty Moore Foundation,Social Sciences and Humanities Research Council of Canada (SSHRC),1
8465,Social Sciences and Humanities Research Council of Canada (SSHRC),Walton Family Foundation,1
8466,German Research Foundation (DFG),Space Telescope Science Institute,1
8467,Space Telescope Science Institute,University of Michigan,1
8468,Max Planck Society,University of Michigan,1
8469,Government of Spain,Space Telescope Science Institute,1
8470,Space Telescope Science Institute,Texas AM Universitiy,1
8471,Space Telescope Science Institute,Stanford University,1
8472,Max Planck Society,Stanford University,1
8473,Pennsylvania State University,TABASGO Foundation,1
8474,Kavli Foundation,Rita Allen Foundation,1
8475,Gordon and Betty Moore Foundation,Rita Allen Foundation,1
8476,Alfred P. Sloan Foundation,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),1
8477,Camille & Henry Dreyfus Foundation,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),1
8478,Government of France,Government of Norway,29
8479,Government of France,Government of Japan,27
8480,Bill and Melinda Gates Foundation,Government of France,31
8481,Government of France,The World Bank,23
8482,Government of France,Government of Netherlands,26
8483,CGIAR,Government of France,27
8484,Government of Canada,Government of France,27
8485,Government of France,Government of Sweden,28
8486,Government of France,National Natural Science Foundation of China (NSFC),2
8487,Government of France,Government of India,30
8488,Government of France,Government of New Zealand,26
8489,Government of Australia,Government of France,27
8490,Government of China,Government of France,27
8491,Government of Japan,Government of Norway,27
8492,Government of Norway,The World Bank,36
8493,Government of Netherlands,Government of Norway,28
8494,Government of Norway,National Natural Science Foundation of China (NSFC),2
8495,Government of India,Government of Norway,26
8496,Government of New Zealand,Government of Norway,26
8497,Government of Australia,Government of Norway,35
8498,Government of China,Government of Norway,26
8499,Government of Japan,The World Bank,51
8500,Government of Japan,Government of Netherlands,26
8501,Government of Canada,Government of Japan,28
8502,Government of Japan,Government of Sweden,27
8503,Government of China,Government of Japan,27
8504,Bill and Melinda Gates Foundation,The World Bank,193
8505,Bill and Melinda Gates Foundation,National Natural Science Foundation of China (NSFC),319
8506,Bill and Melinda Gates Foundation,Government of India,43
8507,Bill and Melinda Gates Foundation,Government of New Zealand,26
8508,Bill and Melinda Gates Foundation,Government of China,39
8509,Government of Netherlands,The World Bank,23
8510,CGIAR,The World Bank,100
8511,Government of Canada,The World Bank,35
8512,Government of Sweden,The World Bank,35
8513,National Natural Science Foundation of China (NSFC),The World Bank,7
8514,Government of India,The World Bank,23
8515,Government of New Zealand,The World Bank,22
8516,Government of Australia,The World Bank,31
8517,Government of China,The World Bank,23
8518,CGIAR,Government of Netherlands,35
8519,Government of Canada,Government of Netherlands,28
8520,Government of Netherlands,National Natural Science Foundation of China (NSFC),2
8521,Government of India,Government of Netherlands,27
8522,Government of Netherlands,Government of New Zealand,26
8523,Government of Australia,Government of Netherlands,30
8524,Government of China,Government of Netherlands,26
8525,CGIAR,Government of India,28
8526,CGIAR,Government of New Zealand,26
8527,CGIAR,Government of China,27
8528,Government of Canada,National Natural Science Foundation of China (NSFC),2
8529,Government of Canada,Government of India,27
8530,Government of Canada,Government of New Zealand,26
8531,Government of Canada,Government of China,27
8532,Government of Sweden,National Natural Science Foundation of China (NSFC),2
8533,Government of India,Government of Sweden,27
8534,Government of New Zealand,Government of Sweden,26
8535,Government of China,Government of Sweden,26
8536,Government of India,National Natural Science Foundation of China (NSFC),2
8537,Government of New Zealand,National Natural Science Foundation of China (NSFC),2
8538,Government of Australia,National Natural Science Foundation of China (NSFC),3
8539,Government of China,National Natural Science Foundation of China (NSFC),4
8540,Government of Australia,Government of India,27
8541,Government of China,Government of India,27
8542,Government of China,Government of New Zealand,26
8543,Government of Australia,Government of China,27
8544,Bill and Melinda Gates Foundation,National Key Research and Development Program of China,92
8545,Bill and Melinda Gates Foundation,Medicines for Malaria Venture,72
8546,European Commission,Medicines for Malaria Venture,24
8547,CGIAR,Medicines for Malaria Venture,14
8548,Medicines for Malaria Venture,Wellcome Trust,18
8549,Bill and Melinda Gates Foundation,Irish Aid,134
8550,Bill and Melinda Gates Foundation,Novo Nordisk Foundation,26
8551,CGIAR,Novo Nordisk Foundation,6
8552,Royal Society of London,Wellcome Trust,56
8553,Royal Society of London,UK National Institute of Health Research (NIHR),15
8554,Bill and Melinda Gates Foundation,Royal Society of London,95
8555,Bill and Melinda Gates Foundation,Natural Environment Research Council (NERC),26
8556,Bill and Melinda Gates Foundation,"Ministry of Foreign Affairs, Netherlands",109
8557,Bill and Melinda Gates Foundation,IAVI,50
8558,Bill and Melinda Gates Foundation,Norwegian Agency for Development Cooperation (NORAD),71
8559,Government of Denmark,"Ministry of Foreign Affairs, Netherlands",75
8560,Government of Denmark,The World Bank,28
8561,Government of Denmark,Irish Aid,77
8562,Government of Denmark,IAVI,18
8563,Government of Denmark,UK Research and Innovation (UKRI),10
8564,Government of Denmark,Government of Japan,76
8565,Government of Denmark,Norwegian Agency for Development Cooperation (NORAD),63
8566,Government of Denmark,UK Department for International Development,76
8567,Government of Denmark,United States Agency for International Development (USAID),79
8568,"Ministry of Foreign Affairs, Netherlands",The World Bank,28
8569,Irish Aid,"Ministry of Foreign Affairs, Netherlands",82
8570,CGIAR,"Ministry of Foreign Affairs, Netherlands",83
8571,IAVI,"Ministry of Foreign Affairs, Netherlands",28
8572,"Ministry of Foreign Affairs, Netherlands",UK Research and Innovation (UKRI),7
8573,Government of Japan,"Ministry of Foreign Affairs, Netherlands",80
8574,"Ministry of Foreign Affairs, Netherlands",Norwegian Agency for Development Cooperation (NORAD),67
8575,"Ministry of Foreign Affairs, Netherlands",UK Department for International Development,82
8576,"Ministry of Foreign Affairs, Netherlands",United States Agency for International Development (USAID),106
8577,Irish Aid,The World Bank,32
8578,IAVI,The World Bank,10
8579,Norwegian Agency for Development Cooperation (NORAD),The World Bank,22
8580,IAVI,Irish Aid,18
8581,Irish Aid,UK Research and Innovation (UKRI),10
8582,Government of Japan,Irish Aid,76
8583,Irish Aid,Norwegian Agency for Development Cooperation (NORAD),63
8584,Irish Aid,United States Agency for International Development (USAID),115
8585,CGIAR,IAVI,21
8586,IAVI,UK Research and Innovation (UKRI),3
8587,Government of Japan,IAVI,19
8588,IAVI,Norwegian Agency for Development Cooperation (NORAD),16
8589,IAVI,UK Department for International Development,20
8590,IAVI,United States Agency for International Development (USAID),44
8591,Norwegian Agency for Development Cooperation (NORAD),UK Research and Innovation (UKRI),5
8592,Government of Japan,Norwegian Agency for Development Cooperation (NORAD),68
