,dataset,funder_value,frequency
1076,gates,NATIONAL HUMAN GENOME RESEARCH INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Human Genome Research Institute (NHGRI)  Funding Source: NIH RePORTER,100
1077,gates,Australian Research CouncilAustralian Research Council,99
1078,gates,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Neurological Disorders & Stroke (NINDS)  Funding Source: NIH RePORTER,99
1079,gates,UNICEF,95
1080,gates,MerckMerck & Company,95
1081,gates,Royal SocietyRoyal Society of LondonEuropean Commission,94
1082,gates,Centers for Disease Control and PreventionUnited States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA,93
1083,gates,Government of CanadaCGIAR,92
1084,gates,BBSRCUK Research & Innovation (UKRI)Biotechnology and Biological Sciences Research Council (BBSRC),92
1085,gates,Fogarty International CenterUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC),92
1086,gates,Foundation for the National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,92
1087,gates,Government of Norway,91
1088,gates,National Health and Medical Research Council of AustraliaNational Health and Medical Research Council of AustraliaUK Research & Innovation (UKRI)Medical Research Council UK (MRC),91
1089,gates,National Institute of General Medical SciencesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS),90
1090,gates,Gilead SciencesGilead Sciences,89
1091,gates,Engineering and Physical Sciences Research CouncilUK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC)  Funding Source: researchfish,87
1092,gates,EUEuropean Commission,84
1093,gates,United Kingdom Department for International Development (DFID),82
1094,gates,Ministry of Finance of Japan,81
1095,gates,National Institute of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,78
1096,gates,Ministry of Foreign Affairs of Denmark,77
1097,gates,Burroughs Wellcome FundBurroughs Wellcome Fund,76
1098,gates,Government of Sweden,75
1099,gates,William and Flora Hewlett Foundation,75
1100,gates,Biotechnology and Biological Sciences Research CouncilUK Research & Innovation (UKRI)Biotechnology and Biological Sciences Research Council (BBSRC),75
1101,gates,"Bill and Melinda Gates Foundation, Seattle, WABill & Melinda Gates Foundation",75
1102,gates,National Cancer InstituteUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),74
1103,gates,Medicines for Malaria Venture,73
1104,gates,National Research Foundation of South AfricaNational Research Foundation - South Africa,73
1105,gates,Swedish Research CouncilSwedish Research CouncilEuropean Commission,72
1106,gates,Syngenta Foundation for Sustainable Agriculture (SFSA),72
1107,gates,PATH,72
1108,gates,United Kingdom Department for International Development,71
1109,gates,Australian National Health and Medical Research CouncilNational Health and Medical Research Council of Australia,70
1110,gates,Doris Duke Charitable FoundationDoris Duke Charitable Foundation (DDCF),70
1111,gates,Thrasher Research Fund,69
1112,gates,NovartisNovartis,69
1113,gates,Swedish International Development Cooperation Agency (Sida),67
1114,gates,CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),67
1115,gates,"Bill & Melinda Gates Foundation, USABill & Melinda Gates Foundation",66
1116,gates,U.S. National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,65
1117,gates,Clinton Health Access Initiative,65
1118,gates,Norwegian Agency for Development Cooperation (NORAD)CGIAR,64
1119,gates,Ford Foundation,64
1120,gates,CDCUnited States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA,63
1121,gates,Swedish International Development Cooperation Agency,63
1122,gates,National Institute of Allergy and Infectious Diseases of the National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID),62
1123,gates,Swiss National Science FoundationSwiss National Science Foundation (SNSF)European Commission,62
1124,gates,International AIDS Vaccine Initiative,61
1125,gates,International AIDS Vaccine Initiative (IAVI),61
1126,gates,NHMRCNational Health and Medical Research Council of Australia,61
1127,gates,NICHDUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),61
1128,gates,National Key Research and Development Program of China,60
1129,gates,Task Force for Global Health,60
1130,gates,"Wellcome Trust, UKWellcome Trust",59
1131,gates,DFID,59
1132,gates,NATIONAL EYE INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Eye Institute (NEI)  Funding Source: NIH RePORTER,59
1133,gates,Johns Hopkins UniversityJohns Hopkins University,59
1134,gates,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Arthritis & Musculoskeletal & Skin Diseases (NIAMS)  Funding Source: NIH RePORTER,59
1135,gates,South African Research Chairs Initiative of the Department of Science and Technology,58
1136,gates,International Initiative for Impact Evaluation (3ie),58
1137,gates,NATIONAL LIBRARY OF MEDICINEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Library of Medicine (NLM)  Funding Source: NIH RePORTER,58
1138,gates,"National Institutes of Health, Fogarty International CenterUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC)",58
1139,gates,Bloomberg Philanthropies,56
1140,gates,Wellcome,55
1141,gates,Canadian Institutes of Health Research (CIHR)Canadian Institutes of Health Research (CIHR),55
1142,gates,US National Institutes of Health (NIH)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,54
1143,gates,UNITAID,54
1144,gates,National Research Foundation,53
1145,gates,National Institute of Child Health and Human DevelopmentUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),53
1146,gates,Carnegie Corporation of New York,53
1147,gates,Wellcome Trust (UK)Wellcome Trust,53
1148,gates,Department of DefenseUnited States Department of Defense,52
1149,gates,U.S. Agency for International DevelopmentUnited States Agency for International Development (USAID),52
1150,gates,IAVI,51
1151,gates,Economic and Social Research CouncilUK Research & Innovation (UKRI)Economic & Social Research Council (ESRC)  Funding Source: researchfish,51
1152,gates,National Institute on AgingUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA),50
1153,gates,UK Government,50
1154,gates,European CommunityEuropean Commission,50
1155,gates,"Ministry of Science and Technology of ChinaMinistry of Science and Technology, China",50
1156,gates,"RAPIDD program of the Science & Technology Directorate, Department of Homeland SecurityUnited States Department of Homeland Security (DHS)",49
1157,gates,"National Heart, Lung, and Blood InstituteUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI)",48
1158,gates,EPSRCUK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC),48
1159,gates,"Ragon Institute of MGH, MIT, and Harvard",47
1160,gates,National Health and Medical Research CouncilNational Health and Medical Research Council of Australia,47
1161,gates,John Templeton Foundation,46
1162,gates,USDA-ARSUnited States Department of Agriculture (USDA)USDA Agricultural Research Service,46
1163,gates,NTD Modelling Consortium by the Bill and Melinda Gates Foundation,46
1164,gates,"NIAID, NIHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID)",46
1165,gates,Australian Department for Foreign Affairs and Trade (DFAT) through the BecA-CSIRO partnershipAustralian Government,46
1166,gates,Government of Australia,45
1167,gates,"Bill and Melinda Gates Foundation, USABill & Melinda Gates Foundation",45
1168,gates,US Centers for Disease Control and PreventionUnited States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA,45
1169,gates,Bill and Melinda Gates Foundation Global Health ProgramBill & Melinda Gates Foundation,45
1170,gates,David and Lucile Packard FoundationThe David & Lucile Packard Foundation,44
1171,gates,Medical Research Council UKUK Research & Innovation (UKRI)Medical Research Council UK (MRC),44
1172,gates,National Science Foundation Graduate Research FellowshipNational Science Foundation (NSF),43
1173,gates,Foundation for the NIHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,43
1174,gates,"Bill & Melinda Gates Foundation, Seattle, WA, USABill & Melinda Gates Foundation",43
1175,gates,Children's Investment Fund Foundation,43
1176,gates,National Center for Complementary & Integrative HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA  Funding Source: NIH RePORTER,43
1177,gates,Mark and Lisa Schwartz Foundation,43
1178,gates,Wellcome TrustWellcome TrustEuropean Commission  Funding Source: researchfish,43
1179,gates,GSKGlaxoSmithKline,42
1180,gates,European and Developing Countries Clinical Trials Partnership,42
1181,gates,National Institute of Mental Health of the US National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),42
1182,gates,ACT Consortium,42
1183,gates,National Institute on Drug AbuseUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA)European Commission,41
1184,gates,National Institute for Health ResearchNational Institute for Health Research (NIHR),41
1185,gates,Sanofi Pasteur,41
1186,gates,NCIUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),41
1187,gates,NIMHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),41
1188,gates,Spencer Foundation,41
1189,gates,"RAPIDD program of the Science and Technology Directorate, Department of Homeland Security",41
1190,gates,Medical Research Council (UK)UK Research & Innovation (UKRI)Medical Research Council UK (MRC),41
1191,gates,Swiss Agency for Development and Cooperation,40
1192,gates,Research to Prevent BlindnessResearch to Prevent Blindness (RPB),40
1193,gates,The Bill & Melinda Gates FoundationBill & Melinda Gates Foundation,40
1194,gates,Government of China,39
1195,gates,GileadGilead Sciences,39
1196,gates,JanssenJohnson & JohnsonJanssen Biotech Inc,39
1197,gates,Academy of FinlandAcademy of FinlandEuropean Commission,39
1198,gates,Norwegian Agency for Development Cooperation,38
1199,gates,US Agency for International Development (USAID)United States Agency for International Development (USAID),38
1200,gates,Cancer Research UKCancer Research UK,38
1201,gates,Government of UK,38
1202,gates,Public Health Agency of Canada,38
1203,gates,CAPESCoordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),38
1204,gates,National Key R&D Program of China,37
1205,gates,National Science Foundation (NSF)National Science Foundation (NSF),37
1206,gates,Natural Sciences and Engineering Research Council of CanadaNatural Sciences and Engineering Research Council of Canada (NSERC)CGIAR,37
1207,gates,"Bill and Melinda Gates Foundation, Seattle, WA, USABill & Melinda Gates Foundation",37
1208,gates,Veterans AffairsUS Department of Veterans Affairs  Funding Source: NIH RePORTER,37
1209,gates,Department for International Development (DFID)  Funding Source: researchfish,37
1210,gates,Defense Advanced Research Projects AgencyUnited States Department of DefenseDefense Advanced Research Projects Agency (DARPA),36
1211,gates,"National Institute of Allergy and Infectious Diseases, National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID)",36
1212,gates,China Scholarship CouncilChina Scholarship Council,36
1213,gates,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPq)Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),36
1214,gates,Israel Science FoundationIsrael Science Foundation,36
1215,gates,Searle Scholars Program,36
1216,gates,Bristol-Myers SquibbBristol-Myers Squibb,36
1217,gates,Department of Homeland SecurityUnited States Department of Homeland Security (DHS),36
1218,gates,NIHRNational Institute for Health Research (NIHR),35
1219,gates,Netherlands Organization for Scientific Research (NWO)Netherlands Organization for Scientific Research (NWO),35
1220,gates,NHLBIUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI),35
1221,gates,National Institute of Mental Health (NIMH)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),35
1222,gates,Wellcome Trust Sustaining Health GrantWellcome Trust,35
1223,gates,RocheRoche Holding,35
1224,gates,ViiV Healthcare,35
1225,gates,Deutsche ForschungsgemeinschaftGerman Research Foundation (DFG),35
1226,gates,U.S. President's Emergency Plan for AIDS Relief (PEPFAR)United States Agency for International Development (USAID)United States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA,34
1227,gates,United Nations Children's Fund,34
1228,gates,Sida,34
1229,gates,Welch FoundationThe Welch Foundation,34
1230,gates,UK government,34
1231,gates,"University of Georgia Research Foundation, Inc. - Bill & Melinda Gates Foundation",34
1232,gates,John D. and Catherine T. MacArthur Foundation,34
1233,gates,Robert Wood Johnson FoundationRobert Wood Johnson Foundation (RWJF),34
1234,gates,CIHRCanadian Institutes of Health Research (CIHR),34
1235,gates,Canadian International Development Agency,34
1236,gates,Canadian Institutes for Health ResearchCanadian Institutes of Health Research (CIHR),34
1237,gates,Government of Japan,33
1238,gates,NASANational Aeronautics & Space Administration (NASA),33
1239,gates,Department for International Development of the United Kingdom,33
1240,gates,NIGMSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS),33
1241,gates,Leona M. and Harry B. Helmsley Charitable Trust,33
1242,gates,Gordon and Betty Moore FoundationGordon and Betty Moore Foundation,33
1243,gates,NIH NIAIDUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID),33
1244,gates,ANRSANRSFrench National Research Agency (ANR),33
1245,gates,BecA-ILRI Hub through the Africa Biosciences Challenge Fund (ABCF) program,33
1246,gates,AbbottAbbott Laboratories,33
1247,gates,Government of India,32
1248,gates,"Institute of Education Sciences, U.S. Department of EducationUS Department of Education",32
1249,gates,UK MRCUK Research & Innovation (UKRI)Medical Research Council UK (MRC),32
1250,rwj,Robert Wood Johnson FoundationRobert Wood Johnson Foundation (RWJF),5315
1251,rwj,NATIONAL INSTITUTE ON AGINGUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA)  Funding Source: NIH RePORTER,592
1252,rwj,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI)  Funding Source: NIH RePORTER",570
1253,rwj,NATIONAL CANCER INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI)  Funding Source: NIH RePORTER,549
1254,rwj,NATIONAL INSTITUTE OF MENTAL HEALTHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH)  Funding Source: NIH RePORTER,546
1255,rwj,National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,543
1256,rwj,NIHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,513
1257,rwj,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,502
1258,rwj,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Diabetes & Digestive & Kidney Diseases (NIDDK)  Funding Source: NIH RePORTER,498
1259,rwj,NATIONAL INSTITUTE ON DRUG ABUSEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA)European Commission  Funding Source: NIH RePORTER,390
1260,rwj,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Advancing Translational Sciences (NCATS)  Funding Source: NIH RePORTER,381
1261,rwj,AGENCY FOR HEALTHCARE RESEARCH AND QUALITYUnited States Department of Health & Human ServicesAgency for Healthcare Research & Quality  Funding Source: NIH RePORTER,321
1262,rwj,,315
1263,rwj,Agency for Healthcare Research and QualityUnited States Department of Health & Human ServicesAgency for Healthcare Research & Quality,308
1264,rwj,NATIONAL CENTER FOR RESEARCH RESOURCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Research Resources (NCRR)  Funding Source: NIH RePORTER,292
1265,rwj,National Institute on AgingUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA),269
1266,rwj,National Institute of Mental HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),261
1267,rwj,Robert Wood Johnson Foundation (RWJF)Robert Wood Johnson Foundation (RWJF),234
1268,rwj,John D. and Catherine T. MacArthur Foundation,219
1269,rwj,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID)  Funding Source: NIH RePORTER,215
1270,rwj,National Institute on Drug AbuseUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA)European Commission,191
1271,rwj,GlaxoSmithKlineGlaxoSmithKline,186
1272,rwj,Centers for Disease Control and PreventionUnited States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA,174
1273,rwj,PfizerPfizer,174
1274,rwj,National Cancer InstituteUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),172
1275,rwj,"National Heart, Lung, and Blood InstituteUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI)",164
1276,rwj,National Institutes of Health (NIH)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,161
1277,rwj,NovartisNovartis,158
1278,rwj,NATIONAL INSTITUTE OF NURSING RESEARCHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Nursing Research (NINR)  Funding Source: NIH RePORTER,154
1279,rwj,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH &HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,149
1280,rwj,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS)  Funding Source: NIH RePORTER,144
1281,rwj,Bristol-Myers SquibbBristol-Myers Squibb,142
1282,rwj,John W. Alden Trust,136
1283,rwj,Pfizer Foundation,135
1284,rwj,Eunice Kennedy Shriver National Institute of Child Health and Human DevelopmentUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),134
1285,rwj,National Science FoundationNational Science Foundation (NSF),131
1286,rwj,FOGARTY INTERNATIONAL CENTERUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC)  Funding Source: NIH RePORTER,131
1287,rwj,National Institute of Mental Health (NIMH)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),125
1288,rwj,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Environmental Health Sciences (NIEHS)  Funding Source: NIH RePORTER,125
1289,rwj,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISMUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Alcohol Abuse & Alcoholism (NIAAA)  Funding Source: NIH RePORTER,124
1290,rwj,Pan American Health Organization,122
1291,rwj,AstraZenecaAstraZeneca,115
1292,rwj,National Institute on Minority Health and Health DisparitiesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Minority Health & Health Disparities (NIMHD)  Funding Source: NIH RePORTER,113
1293,rwj,NIMHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),111
1294,rwj,NATIONAL CENTER FOR CHRONIC DISEASE PREV AND HEALTH PROMOUnited States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA  Funding Source: NIH RePORTER,110
1295,rwj,Robert Wood Johnson Foundation Clinical Scholars ProgramRobert Wood Johnson Foundation (RWJF),108
1296,rwj,Canadian Institutes of Health ResearchCanadian Institutes of Health Research (CIHR),106
1297,rwj,National Institute of Diabetes and Digestive and Kidney DiseasesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Diabetes & Digestive & Kidney Diseases (NIDDK),101
1298,rwj,Commonwealth Fund,98
1299,rwj,US Public Health ServiceUnited States Department of Health & Human ServicesUnited States Public Health Service,98
1300,rwj,Eli LillyEli Lilly,97
1301,rwj,Eli Lilly and CompanyEli Lilly,95
1302,rwj,Fogarty International CenterUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC),95
1303,rwj,American Heart AssociationAmerican Heart Association,90
1304,rwj,Ministry of Social Protection,89
1305,rwj,Robert Wood Johnson Foundation Nurse Faculty Scholars ProgramRobert Wood Johnson Foundation (RWJF),88
1306,rwj,European CommissionEuropean CommissionEuropean Commission Joint Research Centre,88
1307,rwj,Department of Veterans AffairsUS Department of Veterans Affairs,85
1308,rwj,William T. Grant Foundation,84
1309,rwj,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Neurological Disorders & Stroke (NINDS)  Funding Source: NIH RePORTER,84
1310,rwj,National Council on Science and Technology,83
1311,rwj,National Institute of Child Health and Human DevelopmentUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),82
1312,rwj,Ministry of Health,81
1313,rwj,National Institute of Allergy and Infectious DiseasesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID),79
1314,rwj,"Ministerio de Ciencia y Tecnologia, SpainSpanish Government",78
1315,rwj,Substance Abuse and Mental Health Services Administration (SAMHSA)United States Department of Health & Human Services,77
1316,rwj,University of MichiganUniversity of Michigan System,77
1317,rwj,Robert Wood Johnson Foundation Health & Society Scholars programRobert Wood Johnson Foundation (RWJF),77
1318,rwj,Lebanese Ministry of Public Health,76
1319,rwj,National Institute of Drug AbuseUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA),75
1320,rwj,National Institute of Psychiatry Ramon de la Fuente,74
1321,rwj,National Health and Medical Research Council of AustraliaNational Health and Medical Research Council of AustraliaUK Research & Innovation (UKRI)Medical Research Council UK (MRC),74
1322,rwj,Cancer Research UKCancer Research UK,73
1323,rwj,Robert Wood Johnson Foundation Harold Amos Medical Faculty Development ProgramRobert Wood Johnson Foundation (RWJF),71
1324,rwj,Robert Wood Johnson Clinical Scholars ProgramRobert Wood Johnson Foundation (RWJF),68
1325,rwj,Health Research Council,67
1326,rwj,Piedmont Region (Italy)Regione PiemonteInstituto de Salud Carlos III,67
1327,rwj,National Institute of Nursing ResearchUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Nursing Research (NINR),65
1328,rwj,WHO (Lebanon)World Health Organization,65
1329,rwj,ServierServier,64
1330,rwj,Robert Wood Johnson Foundation Health and Society Scholars ProgramRobert Wood Johnson Foundation (RWJF),63
1331,rwj,Canadian Tobacco Control Research Initiative,62
1332,rwj,MerckMerck & Company,62
1333,rwj,Gordon and Betty Moore FoundationGordon and Betty Moore Foundation,61
1334,rwj,Office of Juvenile Justice and Delinquency Prevention,60
1335,rwj,LundbeckLundbeck Corporation,59
1336,rwj,Ministry of Public Health,57
1337,rwj,National Center for Research ResourcesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Research Resources (NCRR),56
1338,rwj,Ellison Medical FoundationLawrence Ellison Foundation,55
1339,rwj,WHO (Geneva)World Health Organization,55
1340,rwj,WHO (Nigeria)World Health Organization,55
1341,rwj,US Department of Veterans AffairsUS Department of Veterans Affairs,55
1342,rwj,William Penn Foundation,54
1343,rwj,National Institute of Environmental Health SciencesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Environmental Health Sciences (NIEHS),54
1344,rwj,American Federation for Aging Research,54
1345,rwj,Champalimaud Foundation,54
1346,rwj,Robert Wood Johnson Health and Society Scholars ProgramRobert Wood Johnson Foundation (RWJF),54
1347,rwj,RobertWood Johnson FoundationRobert Wood Johnson Foundation (RWJF),53
1348,rwj,Ischemia Research and Education Foundation,53
1349,rwj,"Federal Ministry of Health, Abuja, Nigeria",53
1350,rwj,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Arthritis & Musculoskeletal & Skin Diseases (NIAMS)  Funding Source: NIH RePORTER,53
1351,rwj,Shenzhen Bureau of Health,53
1352,rwj,New Zealand Ministry of Health,53
1353,rwj,Kaiser Permanente,53
1354,rwj,Wayne and Gladys Valley Foundation,52
1355,rwj,RocheRoche Holding,52
1356,rwj,Gulbenkian Foundation,52
1357,rwj,Arizona Governor's Justice Commission,51
1358,rwj,National Institute of Justice,51
1359,rwj,NHLBIUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI),51
1360,rwj,National Institute of Drug Abuse (NIDA)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA),51
1361,rwj,Instituto de Salud Carlos IIIInstituto de Salud Carlos IIIEuropean Commission,51
1362,rwj,Alcohol Advisory Council,51
1363,rwj,National Institute of Health of the Ministry of Health of Peru,50
1364,rwj,"Healthy Eating Research, a national program of the Robert Wood Johnson Foundation",49
1365,rwj,Substance Abuse and Mental Health Services AdministrationUnited States Department of Health & Human Services,49
1366,rwj,Sanofi-AventisSanofi-Aventis,49
1367,rwj,Pennsylvania Commission on Crime and Delinquency,48
1368,rwj,American Cancer SocietyAmerican Cancer Society,48
1369,rwj,National Insurance Institute of Israel,48
1370,rwj,NATIONAL HUMAN GENOME RESEARCH INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Human Genome Research Institute (NHGRI)  Funding Source: NIH RePORTER,48
1371,rwj,"Shenzhen Bureau of Science, Technology, and Information",48
1372,rwj,AmgenAmgen,47
1373,rwj,National Institute on Minority Health and Health DisparitiesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Minority Health & Health Disparities (NIMHD),47
1374,rwj,National Institute on Drug Abuse (NIDA)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA),47
1375,rwj,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",47
1376,rwj,RWJFRobert Wood Johnson Foundation (RWJF),47
1377,rwj,Robert Wood Johnson Physician Faculty Scholars ProgramRobert Wood Johnson Foundation (RWJF),47
1378,rwj,NIDAUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA),46
1379,rwj,Israel National Institute for Health Policy and Health Services Research,46
1380,rwj,Robert Wood Johnson Foundation Investigator Award in Health Policy ResearchRobert Wood Johnson Foundation (RWJF),46
1381,rwj,Ortho-McNeil Pharmaceutical,46
